bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B18,0,13,402.5670529151059,65.406,25.781692209999996,8.366349627,-0.0
B18,0,14,401.81573499884007,55.7835,26.231801359999995,8.671247145,-0.0
B18,0,15,400.812618105786,42.3815,26.555723710000002,8.488347401,-0.0
B18,0,16,399.3200474510133,23.1535,27.1023389,9.123737104,-0.0
B18,0,17,397.99747732135455,5.5925,27.72449616,8.302242552,-0.0
B18,0,18,397.61821549969295,0.0,27.87597431,7.093439892,-0.0
B18,0,19,398.49552419688837,0.0,18.09193007,3.701704113,-0.0
B18,0,20,399.07471954432316,0.0,11.89564257,0.954129665,-0.0
B18,0,21,399.15631180824056,0.0,11.89564257,-0.9722400179999999,-0.0
B18,0,22,399.6414294552347,0.0,5.699355075,-1.533943556,-0.0
B18,0,23,399.84484256654207,0.0,2.4928321480000006,-0.708190951,-0.0
B18,0,24,399.8488408240025,0.0,2.425508083,-0.684471031,-0.0
B19,0,1,394.80347134280726,0.0,1.9221330319999999,0.0,-0.0
B19,0,2,394.54380728847457,0.0,1.9221330319999999,0.0,-0.0
B19,0,3,394.53903717159034,0.0,1.9221330319999999,0.0,-0.0
B19,0,4,394.55417939888156,0.0,1.9221330319999999,0.0,-0.0
B19,0,5,394.52554952853995,0.0,1.9221330319999999,0.0,-0.0
B19,0,6,394.5651232208175,0.0,1.9221330319999999,0.0,-0.0
B19,0,7,390.59423554402,0.0,2.095977547,0.0,-0.0
B19,0,8,392.3265584192727,8.080500000000002,4.544754998,0.0,-0.0
B19,0,9,390.89306114074753,19.4045,9.404459547,0.0,-0.0
B19,0,10,397.1493355248274,40.328,9.180627204,0.0,-0.0
B19,0,11,404.07236588134776,63.8915,8.923251545,0.0,-0.0
B19,0,12,407.04571733796115,75.4585,8.866013302,0.0,-0.0
B19,0,13,409.41059523412963,65.406,5.224106831,0.0,-0.0
B19,0,14,406.0976912536273,55.7835,9.010235207,0.0,-0.0
B19,0,15,402.3814795315956,42.3815,9.300802201999998,0.0,-0.0
B19,0,16,396.7515580689145,23.1535,9.803047885,0.0,-0.0
B19,0,17,391.2239003051577,5.5925,9.851306152,0.0,-0.0
B19,0,18,392.92212407252885,0.0,5.037595783,0.0,-0.0
B19,0,19,393.6442357430156,0.0,1.9448031310000002,0.0,-0.0
B19,0,20,394.73331877070814,0.0,1.9221330319999999,0.0,-0.0
B19,0,21,394.55332733821604,0.0,1.9221330319999999,0.0,-0.0
B19,0,22,394.3798423430009,0.0,1.9221330319999999,0.0,-0.0
B19,0,23,394.4065079223932,0.0,1.9221330319999999,0.0,-0.0
B19,0,24,394.39792666526034,0.0,1.9221330319999999,0.0,-0.0
