bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B5,0,16,14986.567244790034,0.0,18.29261964,8.101760443,-0.0
B5,0,17,14986.138550953772,0.0,18.73453043,9.211618304,-0.0
B5,0,18,14985.612142895936,0.0,14.63761763,7.582284993,-0.0
B5,0,19,14988.526507308696,0.0,14.63239885,8.45465751,-0.0
B5,0,20,14988.586653840175,0.0,12.22809413,7.675262097,-0.0
B5,0,21,14988.403619545834,0.0,12.22809413,8.520393721,-0.0
B5,0,22,14988.384461091628,0.0,12.22809413,9.333137334,-0.0
B5,0,23,14989.44728058297,0.0,12.22809413,9.208331452,-0.0
B5,0,24,14990.548532087118,0.0,12.22809413,9.248499899,-0.0
B8,0,1,14991.636275320125,0.0,18.97869435,8.337069303,-0.0
B8,0,2,14991.674880446151,0.0,18.97869435,8.811536662,-0.0
B8,0,3,14992.016333689293,0.0,18.97869435,8.629049216,-0.0
B8,0,4,14992.02850938285,0.0,18.97869435,8.44656177,-0.0
B8,0,5,14992.003613258132,0.0,18.97869435,6.841490119,-0.0
B8,0,6,14991.869817516985,0.0,18.97869435,5.876572841,-0.0
B8,0,7,14990.261740562102,0.0,18.97869435,4.982374656,-0.0
B8,0,8,14988.040537055987,0.0,18.97869435,3.235662496,-0.0
B8,0,9,14984.509600341853,0.0,18.97869435,2.678983547,-0.0
B8,0,10,14985.010454128307,0.0,18.97869435,3.2084928660000007,-0.0
B8,0,11,14986.10448067563,0.0,18.97869435,3.2808336940000005,-0.0
B8,0,12,14986.118434304173,0.0,19.42913554,3.3749385710000004,-0.0
B8,0,13,14986.493130843277,0.0,18.97869435,3.270252746,-0.0
B8,0,14,14986.538881557126,0.0,18.97869435,3.550100777,-0.0
B8,0,15,14986.538765593557,0.0,18.97869435,4.058940925,-0.0
B8,0,16,14986.475977753218,0.0,18.97869435,3.947732742,-0.0
B8,0,17,14986.042570187577,0.0,18.97869435,4.496511428,-0.0
B8,0,18,14985.506232781241,0.0,18.97869435,4.176986861,-0.0
B8,0,19,14988.385835130022,0.0,18.97869435,4.481600004999999,-0.0
B8,0,20,14988.442418574083,0.0,18.97869435,5.104207859000001,-0.0
B8,0,21,14988.250583610039,0.0,18.97869435,7.1763188,-0.0
B8,0,22,14988.227482311844,0.0,18.97869435,8.531288084,-0.0
B8,0,23,14989.317420413558,0.0,18.97869435,9.124372283,-0.0
