i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B5,B8,0,17,83.67741703223648,17.259490659841322,3.2917058590732555,1.0,0.0
B5,B8,0,18,93.07414689700025,17.5367127946451,3.649044151851502,1.0,0.0
B5,B8,0,19,125.55083028479709,19.431291709958863,4.893801791877924,1.0,0.0
B5,B8,0,20,132.74770182619443,11.784292680613003,5.13353118439358,1.0,0.0
B5,B8,0,21,140.5808596528213,13.037550742315057,5.438455995735885,1.0,0.0
B5,B8,0,22,144.0079087552515,13.766994468741897,5.572524634157499,1.0,0.0
B5,B8,0,23,118.69682224926868,12.29055382652418,4.59637284122132,1.0,0.0
B5,B8,0,24,87.08353427451789,10.526123174873035,3.3784597971367836,1.0,0.0
B9,B11,0,1,73.36891959233569,44.07220067343919,3.296307301609691,1.0,0.0
B9,B11,0,2,73.36902767585632,51.39046403005306,3.449903746036688,1.0,0.0
B9,B11,0,3,73.36908681995128,51.52471619227331,3.4528652795822814,1.0,0.0
B9,B11,0,4,73.369049639888,51.098624585394184,3.443433715015513,1.0,0.0
B9,B11,0,5,73.36905723481667,51.90413564899245,3.4613135682324643,1.0,0.0
B9,B11,0,6,73.36902271490901,50.79062206799814,3.436898638454075,1.0,0.0
B9,B11,0,7,119.10255105232535,78.45052672411799,5.494708179816603,1.0,0.0
B9,B11,0,8,119.88750821848065,74.93878842469061,5.447367607879939,1.0,0.0
B9,B11,0,9,162.97525897423918,89.91038179302552,7.173338161867083,1.0,0.0
B9,B11,0,10,166.65197801507506,78.52299562998772,7.099827768561249,1.0,0.0
B9,B11,0,11,164.84111960027965,72.65882183873,6.942518796972285,1.0,0.0
B9,B11,0,12,168.7667822279785,70.37366234250348,7.04710347428845,1.0,0.0
B9,B11,0,13,114.07029698611387,48.611995412073775,4.777318873443528,1.0,0.0
B9,B11,0,14,109.59186565984969,47.99768389788323,4.609427071887185,1.0,0.0
B9,B11,0,15,109.13342074959894,47.66146707757082,4.587999921151115,1.0,0.0
B9,B11,0,16,109.75663151731658,48.611011824139986,4.624780826396136,1.0,0.0
B9,B11,0,17,112.4081832216192,55.270203627508174,4.826404208287302,1.0,0.0
B9,B11,0,18,87.82634920942306,45.49402873399471,3.810811095360275,1.0,0.0
B9,B11,0,19,87.79497597693579,50.72822913943721,3.9066121273129433,1.0,0.0
B9,B11,0,20,73.36900329612102,46.05178651631793,3.337112968310004,1.0,0.0
B9,B11,0,21,73.36906618975523,51.12261278299606,3.4449083949997745,1.0,0.0
B9,B11,0,22,73.36899777057437,55.99901473983304,3.555568171996952,1.0,0.0
B9,B11,0,23,73.36908008291053,55.25024359844339,3.537790955411369,1.0,0.0
B9,B11,0,24,73.36901186942508,55.4912022764722,3.543143312393596,1.0,0.0
B9,B30,0,1,-92.61107808219072,-44.07752780119447,3.9498932661603368,0.0,1.0
B9,B30,0,2,-91.18902237397653,-51.396051209427064,4.031145331828166,0.0,1.0
B9,B30,0,3,-90.47767609375644,-51.53026923926957,4.009848672068389,0.0,1.0
B9,B30,0,4,-90.12185124501912,-51.1041241924799,3.9897978398334337,0.0,1.0
B9,B30,0,5,-90.41642582810645,-51.90976074541713,4.015086452502215,0.0,1.0
B9,B30,0,6,-93.35896034022753,-50.79639712898458,4.093289552677078,0.0,1.0
B9,B30,0,7,-144.72339644755968,-78.46428344805233,6.341967239278923,0.0,1.0
B9,B30,0,8,-150.16255308969795,-74.95270867898826,6.465749521773174,0.0,1.0
B9,B30,0,9,-193.11361989385628,-89.93369340012288,8.208851856831815,0.0,1.0
B9,B30,0,10,-195.77712192985263,-78.54584112468832,8.128582463001386,0.0,1.0
B9,B30,0,11,-193.04516481935988,-72.68018771517264,7.9485694347761475,0.0,1.0
B9,B30,0,12,-197.32827814364876,-70.3958631736699,8.07348869865285,0.0,1.0
B9,B30,0,13,-142.25420069474393,-48.62333550650999,5.791547437511326,0.0,1.0
B9,B30,0,14,-136.7074571820789,-48.008336210619134,5.581750198054116,0.0,1.0
B9,B30,0,15,-135.89246956669723,-47.6717866226192,5.547792960118301,0.0,1.0
B9,B30,0,16,-137.80243677189526,-48.621612117903524,5.629430109784585,0.0,1.0
B9,B30,0,17,-146.86572624058908,-55.2822830161324,6.045912733026667,0.0,1.0
B9,B30,0,18,-131.05193751676882,-45.50326537285317,5.344449589188345,0.0,1.0
B9,B30,0,19,-131.53301034290678,-50.7379231520665,5.431196038435303,0.0,1.0
B9,B30,0,20,-114.16368283706709,-46.05924274859647,4.742114634076023,0.0,1.0
B9,B30,0,21,-112.74113130286965,-51.13012017252131,4.768604216722628,0.0,1.0
B9,B30,0,22,-109.77293090178658,-56.00651121818817,4.746980303915181,0.0,1.0
B9,B30,0,23,-103.24722774722188,-55.257176335977505,4.510378729356558,0.0,1.0
B9,B30,0,24,-97.45832904619827,-55.4976387348777,4.319379012563508,0.0,1.0
B11,B16,0,1,44.836484492906266,26.93297924169174,2.014933365936123,1.0,0.0
B11,B16,0,2,44.83649775904666,31.405222469680783,2.1087142209348397,1.0,0.0
B11,B16,0,3,44.83649799132789,31.487240336467657,2.1105171791796007,1.0,0.0
B11,B16,0,4,44.83649723192828,31.226866245651323,2.1047628275953576,1.0,0.0
B11,B16,0,5,44.83649876882726,31.719121133806468,2.115672873669631,1.0,0.0
B11,B16,0,6,44.836496614850134,31.03865334194521,2.1007727471146658,1.0,0.0
B11,B16,0,7,72.78447658431246,47.94177571898034,3.3581081989161943,1.0,0.0
B11,B16,0,8,73.26422421569491,45.795746395384754,3.3291807913400775,1.0,0.0
B11,B16,0,9,99.59534715109136,54.94491436800169,4.383846832784564,1.0,0.0
B11,B16,0,10,101.84227092495398,47.98597642882176,4.3389483912851095,1.0,0.0
B11,B16,0,11,100.73563063398353,44.40231370796225,4.242829429837424,1.0,0.0
B11,B16,0,12,103.13461736694045,43.00581420779793,4.3067441678415594,1.0,0.0
B11,B16,0,13,69.7093675229683,29.707201565624754,2.919769532201655,1.0,0.0
B11,B16,0,14,66.97254876606935,29.331790463762736,2.8171747457641287,1.0,0.0
B11,B16,0,15,66.69245074479007,29.126352238736917,2.80408574650374,1.0,0.0
B11,B16,0,16,67.07321290147354,29.706590352466407,2.826565963768242,1.0,0.0
B11,B16,0,17,68.69357690615357,33.776081186376224,2.949728850209926,1.0,0.0
B11,B16,0,18,53.67145080308648,27.80180353841503,2.329235936524424,1.0,0.0
B11,B16,0,19,53.65232480002845,31.000507458031368,2.387736817024432,1.0,0.0
B11,B16,0,20,44.836487977740724,28.142698136279204,2.0398268524516965,1.0,0.0
B11,B16,0,21,44.83649731666759,31.241518749823253,2.105655194729886,1.0,0.0
B11,B16,0,22,44.83650721905769,34.22158362244618,2.173213040247525,1.0,0.0
B11,B16,0,23,44.836505602011755,33.763961215076726,2.1623600367484612,1.0,0.0
B11,B16,0,24,44.836506097085284,33.91124575394516,2.16562627752414,1.0,0.0
B11,B0,0,1,0.0,0.0,0.0,-0.0,0.0
B11,B0,0,2,0.0,0.0,0.0,-0.0,0.0
